EO_total	EM_total	MO_total	EO_direct	MO_direct
-0.40363474945438077	-0.2269489015973386	0.18390044826410892	-0.37146322640905316	0.08576996542102383
-0.39645176780538555	-0.25805808306580297	0.29815077630225784	-0.3664316918233364	0.07451835807946873
-0.39493840812808684	-0.23366789930707588	-0.0021971152350475026	-0.3632378230460252	0.0872533326306878
-0.384009202819811	-0.23437449266004745	0.18179758016981157	-0.35138721917983423	0.08498108468700184
-0.3946713038082249	-0.2397637031251129	0.10107553866081309	-0.35931142300936425	0.08010876852998113
-0.3868289630082231	-0.243661529472048	-0.021792038022456536	-0.3581965732449364	0.08161023442942318
-0.3965314060352257	-0.24757710343779898	0.07810380770872768	-0.36284887058441206	0.08742569764365463
-0.4089883477128823	-0.232643882082787	0.11216122893107401	-0.3752836234002759	0.08690302607571845
-0.39908269298353827	-0.23239105738893562	-0.029003809475017097	-0.36886940641700944	0.07903662525397721
-0.40764793871047594	-0.2377325464708584	0.04513874580502951	-0.3738706776836868	0.07799098574400105
-0.4124356683562648	-0.227206475326956	0.10004383145265341	-0.3812969819974032	0.08180335825705126
-0.40346618950642654	-0.2187089375166954	0.053039693806124666	-0.3724787083720333	0.08169978150845471
-0.39487026907954814	-0.2374761838916436	0.06748342746322149	-0.360821558625761	0.07600265310399221
-0.3842134286935288	-0.21748996521509453	0.055723481435414134	-0.3548632128190372	0.0839621957218127
-0.3992099576276337	-0.22919891528851294	0.1293046116384761	-0.36531733741770833	0.08377011935044706
-0.3816476013726001	-0.23696362902104806	-0.07144321583845703	-0.35292788979474626	0.07745831982198101
-0.4041210888996736	-0.2115137748581112	0.09884949496845533	-0.3746339183040078	0.07038186153183261
-0.39089130858089555	-0.24584968612354188	-0.01654169584456351	-0.35433314095035695	0.08645074831325918
-0.39867914114211217	-0.2381276876954344	0.11300702783932277	-0.3669125017311597	0.07897464624506237
-0.42039323556089125	-0.23914432663973295	0.05744829734580732	-0.38998463571369374	0.07839946582205486
-0.40288264845815275	-0.22698522320776984	-0.1783560096198351	-0.37692995831994885	0.07489323989577613
-0.4113683110604311	-0.22057977164678785	0.22314992907098063	-0.3828906490918864	0.08355707416914233
-0.3932817509800514	-0.22858489736602106	0.21215619320609103	-0.3590887447690796	0.08602296164962246
-0.3725260828409054	-0.21522014628809302	0.14822001101898696	-0.3410234061296751	0.08608826041461785
-0.40430262929422045	-0.24417749901526303	0.07985552203648863	-0.37575903361767615	0.07097573954996578
-0.3935173138642347	-0.2589457950273956	0.07711159319176591	-0.36069490240207436	0.07809579106640831
-0.3917745352694917	-0.21573608658303378	0.10628894971925365	-0.35912415100897493	0.08524069894669609
-0.38281659321139483	-0.24847146037169437	-0.08439221026742008	-0.3493729527361868	0.08002462525283975
-0.3782660020939921	-0.24218484750984856	0.09273584470989886	-0.34181039688497217	0.08209862755117091
-0.4082150603638199	-0.24913382219842511	0.08625342471987807	-0.3739469498835635	0.07461766456313983
-0.4089713720819805	-0.24120624175135436	0.05871825971305014	-0.3717516337890671	0.08297847886633032
-0.4222720599921906	-0.22226578443987122	0.12362416720523886	-0.3915490922731373	0.08440972831920075
