measure	mean	sd	mediator
indirect_b_difference	NA	0.0103	age_at_menarche
indirect_se_difference_PoE	0.0184	NA	age_at_menarche
indirect_b_product_v1	NA	0.0096	age_at_menarche
indirect_se_product_v1_PoE	0.0176	NA	age_at_menarche
indirect_se_product_v1_delta	0.0094	NA	age_at_menarche
indirect_b_product_v2	NA	0.0102	age_at_menarche
indirect_se_product_v2_PoE	0.0184	NA	age_at_menarche
indirect_se_product_v2_delta	0.0103	NA	age_at_menarche
indirect_b_difference	NA	0.0012	age_at_menopause
indirect_se_difference_PoE	0.0153	NA	age_at_menopause
indirect_b_product_v1	NA	8e-4	age_at_menopause
indirect_se_product_v1_PoE	0.0204	NA	age_at_menopause
indirect_se_product_v1_delta	8e-4	NA	age_at_menopause
indirect_b_product_v2	NA	9e-4	age_at_menopause
indirect_se_product_v2_PoE	0.0213	NA	age_at_menopause
indirect_se_product_v2_delta	9e-4	NA	age_at_menopause
indirect_b_difference	NA	0.0029	IGF1
indirect_se_difference_PoE	0.0154	NA	IGF1
indirect_b_product_v1	NA	0.0018	IGF1
indirect_se_product_v1_PoE	0.0149	NA	IGF1
indirect_se_product_v1_delta	0.0018	NA	IGF1
indirect_b_product_v2	NA	0.0019	IGF1
indirect_se_product_v2_PoE	0.0151	NA	IGF1
indirect_se_product_v2_delta	0.0019	NA	IGF1
indirect_b_difference	NA	0.0024	SHBG
indirect_se_difference_PoE	0.0153	NA	SHBG
indirect_b_product_v1	NA	0.0014	SHBG
indirect_se_product_v1_PoE	0.0151	NA	SHBG
indirect_se_product_v1_delta	0.0014	NA	SHBG
indirect_b_product_v2	NA	0.0015	SHBG
indirect_se_product_v2_PoE	0.0155	NA	SHBG
indirect_se_product_v2_delta	0.0015	NA	SHBG
indirect_b_difference	NA	0.0024	testosterone_bioavailable
indirect_se_difference_PoE	0.0156	NA	testosterone_bioavailable
indirect_b_product_v1	NA	0.0017	testosterone_bioavailable
indirect_se_product_v1_PoE	0.0161	NA	testosterone_bioavailable
indirect_se_product_v1_delta	0.0017	NA	testosterone_bioavailable
indirect_b_product_v2	NA	0.0018	testosterone_bioavailable
indirect_se_product_v2_PoE	0.0165	NA	testosterone_bioavailable
indirect_se_product_v2_delta	0.0018	NA	testosterone_bioavailable
indirect_b_difference	NA	0.0027	testosterone_free
indirect_se_difference_PoE	0.0156	NA	testosterone_free
indirect_b_product_v1	NA	0.0021	testosterone_free
indirect_se_product_v1_PoE	0.016	NA	testosterone_free
indirect_se_product_v1_delta	0.002	NA	testosterone_free
indirect_b_product_v2	NA	0.0022	testosterone_free
indirect_se_product_v2_PoE	0.0164	NA	testosterone_free
indirect_se_product_v2_delta	0.0021	NA	testosterone_free
indirect_b_difference	NA	0.0024	testosterone_total
indirect_se_difference_PoE	0.0156	NA	testosterone_total
indirect_b_product_v1	NA	0.0017	testosterone_total
indirect_se_product_v1_PoE	0.0162	NA	testosterone_total
indirect_se_product_v1_delta	0.0017	NA	testosterone_total
indirect_b_product_v2	NA	0.0018	testosterone_total
indirect_se_product_v2_PoE	0.0165	NA	testosterone_total
indirect_se_product_v2_delta	0.0018	NA	testosterone_total
